PathwayID,PathwayName,Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,URL,Genes
hsa04141,Protein processing in endoplasmic reticulum,0.000980395,37,169,1.713218093,http://www.genome.jp/kegg-bin/show_pathway?hsa04141 , STUB1  EIF2S1  ERN1  ATF6  FBXO2  PDIA3  HSPA5  HSPA8  HSP90AA1  MAP3K5  ATXN3  EIF2AK4  ATF4  NFE2L2  P4HB  PRKN  DNAJC10  MAPK8  MAPK9  MAPK10  EIF2AK2  SAR1A  BAG1  BAK1  BAX  BCL2  SIL1  HSP90B1  TRAF2  UBE2G2  WFS1  XBP1  DERL1  CALR  CAPN1  MBTPS1  EIF2AK3
hsa04136,Autophagy-other,0.127016978,7,32,1.711771118,http://www.genome.jp/kegg-bin/show_pathway?hsa04136 , PIK3R4  IGBP1  PPP2CA  ATG3  BECN1  ATG12  ATG5
hsa04260,Cardiac muscle contraction,0.016903369,19,87,1.708960328,http://www.genome.jp/kegg-bin/show_pathway?hsa04260 , COX4I1  COX8A  MT-CO1  MT-CO2  MT-CYB  MYH6  MYH7  MYL2  ATP1A3  ATP1B1  ATP2A1  ATP2A2  ATP2A3  RYR2  SLC9A1  ACTC1  TNNI3  TNNT2  UQCRC2
hsa04120,Ubiquitin mediated proteolysis,0.002619363,31,142,1.708326911,http://www.genome.jp/kegg-bin/show_pathway?hsa04120 , STUB1  PIAS3  WWP2  ERCC8  DDB1  DDB2  NEDD4L  FBXO2  AIRE  BIRC3  XIAP  MDM2  PRKN  UBR5  PML  FBXW7  RPS27A  SMURF2  BRCA1  ELOC  TRAF6  UBE2B  UBE2G2  VHL  PIAS1  SOCS1  CBL  HERC1  BTRC  SOCS3  KEAP1
hsa00515,Mannose type O-glycan biosynthesis,0.190984521,5,23,1.701139,http://www.genome.jp/kegg-bin/show_pathway?hsa00515 , FUT4  B3GAT1  POMGNT1  ST3GAL3  POMGNT2
hsa01240,Biosynthesis of cofactors,0.00237584,33,153,1.687796733,http://www.genome.jp/kegg-bin/show_pathway?hsa01240 , COQ7  GPHN  AKR1A1  LIAS  CPOX  ADSL  DHFR  NQO1  DLD  ALAD  ALDH2  FECH  ALPI  ALPL  ALPP  GCH1  GCLC  GCLM  GUSB  HMBS  HPD  NME1  NME2  UGT1A9  UGT1A4  UGT1A1  UGT1A3  PPOX  UROD  UROS  KMO  HSD17B6  KYNU
hsa00280,Valine leucine and isoleucine degradation,0.096612114,10,48,1.630258208,http://www.genome.jp/kegg-bin/show_pathway?hsa00280 , DLD  ABAT  ALDH2  HADH  HMGCS1  HMGCS2  ACADM  IVD  ALDH7A1  BCKDHB
hsa04612,Antigen processing and presentation,0.045778229,16,78,1.605177312,http://www.genome.jp/kegg-bin/show_pathway?hsa04612 , CREB1  CTSS  PDIA3  HSPA5  HSPA8  HSP90AA1  IFNG  KLRC1  KLRC2  KLRD1  CIITA  LGMN  CALR  CD4  CD8A  CD8B
hsa03460,Fanconi anemia pathway,0.094719356,11,54,1.594030248,http://www.genome.jp/kegg-bin/show_pathway?hsa03460 , ERCC1  FANCC  FANCE  HES1  MLH1  PMS2  ATR  WDR48  RAD51  BRCA1  BRCA2
hsa04144,Endocytosis,0.000737434,51,251,1.589988882,http://www.genome.jp/kegg-bin/show_pathway?hsa04144 , ACTR2  RAB35  CCR5  GRK2  GRK3  EGFR  FGFR3  FGFR2  FGFR4  NEDD4L  FOLR1  FOLR2  DNM3  CHMP2A  AMPH  BIN1  GRK5  GRK6  HSPA8  IGF1R  IL2RA  IL2RB  CXCR2  ARF1  ARF3  KIF5B  RHOA  LDLR  SMAD2  SMAD3  MDM2  PARD6A  PDGFRA  PLD1  PLD2  PML  VPS35  PRKCZ  SMURF2  SRC  TFRC  TGFBR1  TGFBR2  TRAF6  TSG101  CXCR4  RAB7A  EEA1  CAV1  CBL  USP8
hsa00565,Ether lipid metabolism,0.118754402,10,50,1.56504788,http://www.genome.jp/kegg-bin/show_pathway?hsa00565 , PAFAH1B1  PLA2G1B  PLA2G2A  PLA2G4A  PLD1  PLD2  CHPT1  UGT8  PLA2G6  PLPP1
hsa00564,Glycerophospholipid metabolism,0.055610537,19,99,1.501813622,http://www.genome.jp/kegg-bin/show_pathway?hsa00564 , PEMT  LYPLA1  CHAT  CHKA  DGKQ  LPIN1  GPD1  LCAT  ACHE  PLA1A  PLA2G1B  PLA2G2A  PLA2G4A  PLD1  PLD2  CHPT1  TAFAZZIN  PLA2G6  PLPP1
hsa00240,Pyrimidine metabolism,0.138049698,11,58,1.484097127,http://www.genome.jp/kegg-bin/show_pathway?hsa00240 , DCK  NME1  NME2  NT5E  ENPP1  RRM1  TK1  TK2  TYMS  NT5C1A  ENTPD1
hsa04742,Taste transduction,0.087521393,16,85,1.47298624,http://www.genome.jp/kegg-bin/show_pathway?hsa04742 , P2RX2  PLCB1  HTR1A  HTR1B  HTR1D  HTR3A  P2RX3  TAS2R4  TAS2R5  SCN2A  SCN3A  SCN9A  CACNA1A  TAS1R2  TAS1R3  PKD2L1
hsa05168,Herpes simplex virus 1 infection,0.001144098,88,495,1.391153671,http://www.genome.jp/kegg-bin/show_pathway?hsa05168 , CHUK  TICAM1  EIF2S1  EIF2B1  EIF4EBP1  AKT1  AKT2  DDX58  POU2F3  TBK1  PDIA3  APAF1  BIRC3  IFNA1  IFNA5  IFNA17  IFNAR1  IFNAR2  IFNB1  IFNG  IFNGR1  FAS  IKBKB  IL1B  FASLG  IL6  IL12A  IL12B  IRAK1  IRF3  ITGA5  ITGB3  JAK1  JAK2  EIF2AK4  MYD88  NFKB1  NFKBIA  IRAK4  CFP  PIK3CA  PIK3R1  PIK3R2  PML  TLR9  CYCS  POU2F1  POU2F2  PPP1CA  EIF2AK2  BAD  BAK1  PTPN11  BAX  BCL2  RELA  BCL2L1  CCL2  IFIH1  SP100  SRC  STAT1  STAT2  BST2  SYK  MAP3K7  TLR2  TLR3  TNFRSF1A  TP53  TRAF2  TRAF3  TRAF5  TRAF6  TSC1  TSC2  TYK2  CALR  CASP3  CASP8  CASP9  PIK3R3  IKBKG  TNFSF14  FADD  SOCS3  EIF2AK3  CD74
hsa04146,Peroxisome,0.186766735,14,82,1.336016483,http://www.genome.jp/kegg-bin/show_pathway?hsa04146 , AGXT  EPHX2  ACSL4  IDH1  IDH2  PRDX1  ACOX1  PHYH  FAR2  SCP2  SOD1  SOD2  XDH  CAT
hsa04070,Phosphatidylinositol signaling system,0.199867747,16,97,1.290761138,http://www.genome.jp/kegg-bin/show_pathway?hsa04070 , DGKQ  PLCB1  INPP5A  INPPL1  ITPR1  OCRL  PIK3CA  PIK3R1  PIK3R2  PLCG1  PLCG2  PRKCA  PRKCG  IPPK  CALML3  PIK3R3
